"","options"
"4015","beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw"
"4016","beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
"4017","beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled"
"4018","beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, select, raw"
"4019","beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled"
"4020","beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
"4021","beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised"
"4022","beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted"
"4023","beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
"4024","beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised"
"4025","beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted"
"4026","beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw"
"4027","beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised"
"4028","beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted"
"4029","beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
"4030","beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted"
"4031","beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
"4032","beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted"
"4033","beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, select, raw"
"4034","beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted"
"4035","beef, round, tip round, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
"4036","beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted"
"4037","beef, round, tip round, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
"4038","beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted"
"4039","beef, round, tip round, separable lean and fat, trimmed to 1/8"" fat, select, raw"
"4040","beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted"
"4041","beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw"
"4042","beef, round, top round, separable lean only, trimmed to 1/8"" fat, choice, cooked, pan-fried"
"4043","beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
"4044","beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised"
"4045","beef, round, top round steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled"
"4046","beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
"4047","beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised"
"4048","beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled"
"4049","beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, pan-fried"
"4050","beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw"
"4051","beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised"
"4052","beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled"
"4053","beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, prime, raw"
"4054","beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled"
"4055","beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw"
"4056","beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw"
"4057","beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
"4058","beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled"
"4059","beef, short loin, t-bone steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
"4060","beef, short loin, t-bone steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled"
"4061","beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
"4062","beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled"
"4063","beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
"4064","beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled"
"4065","beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, raw"
"4066","beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled"
"4067","beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, prime, raw"
"4068","beef, short loin, top loin, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled"
"4069","beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
"4070","beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled"
"4071","beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted"
"4072","beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
"4073","beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled"
"4074","beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted"
"4075","beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw"
"4076","beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled"
"4077","beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted"
"4078","beef, tenderloin, separable lean and fat, trimmed to 1/8"" fat, prime, raw"
"4079","beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled"
"4080","beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted"
"4081","beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
"4082","beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled"
"4083","beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
"4084","beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled"
"4085","beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, pan-fried"
"4086","beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw"
"4087","beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled"
"4088","beef, chuck, clod roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted"
"4089","beef, chuck, clod roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted"
"4090","beef, shoulder steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled"
"4091","beef, shoulder steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled"
"4092","beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled"
"4093","beef, flank, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, broiled"
"4094","beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, select, cooked, braised"
"4095","beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, select, cooked, broiled"
"4096","beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled"
"4097","beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted"
"4098","beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, all grades, raw"
"4099","beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted"
"4100","beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, choice, raw"
"4101","beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted"
"4102","beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, raw"
"4103","beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled"
"4104","beef, chuck, mock tender steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled"
"4105","beef, chuck, mock tender steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled"
"4106","beef, chuck, top blade, separable lean only, trimmed to 0"" fat, choice, cooked, broiled"
"4107","beef, chuck, top blade, separable lean only, trimmed to 0"" fat, select, cooked, broiled"
"4108","beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled"
"4109","beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled"
"4110","beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw"
"4111","beef, flank, steak, separable lean and fat, trimmed to 0"" fat, select, raw"
"4112","beef, chuck eye roast, boneless, america's beef roast, separable lean only, trimmed to 0"" fat, all grades, raw"
"4113","beef, chuck eye roast, boneless, america's beef roast, separable lean only, trimmed to 0"" fat, choice, raw"
"4114","beef, chuck eye roast, boneless, america's beef roast, separable lean only, trimmed to 0"" fat, select, raw"
"4115","beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw"
"4116","beef, plate, inside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled"
"4117","beef, plate, outside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled"
"4118","beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised"
"4119","beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised"
"4120","beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"
"4121","beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, select, raw"
"4122","beef, loin, bottom sirloin butt, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted"
"4123","alcoholic beverage, beer, regular, all"
"4124","alcoholic beverage, beer, regular, budweiser"
"4125","alcoholic beverage, beer, light, budweiser select"
"4126","alcoholic beverage, beer, light"
"4127","alcoholic beverage, beer, light, bud light"
"4128","alcoholic beverage, daiquiri, canned"
"4129","alcoholic beverage, daiquiri, prepared-from-recipe"
"4130","alcoholic beverage, beer, light, low carb"
"4131","alcoholic beverage, pina colada, canned"
"4132","beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"4133","alcoholic beverage, pina colada, prepared-from-recipe"
"4134","alcoholic beverage, tequila sunrise, canned"
"4135","beverages,  energy drink, citrus"
"4136","beverages, monster energy drink, low carb"
"4137","beverages, whiskey sour mix, powder"
"4138","alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix"
"4139","beverages, the coca-cola company, nos zero, energy drink, sugar-free with guarana, fortified with vitamins b6 and b12"
"4140","alcoholic beverage, whiskey sour, canned"
"4141","beverages, whiskey sour mix, bottled"
"4142","alcoholic beverage, whiskey sour, prepared from item 14028"
"4143","beverages, the coca-cola company, nos energy drink, original, grape, loaded cherry, charged citrus, fortified with vitamins b6 and b12"
"4144","beverages, water, bottled, yumberry, pomegranate with anti-oxidants, zero calories"
"4145","beverages, abbott, eas whey protein powder"
"4146","alcoholic beverage, creme de menthe, 72 proof"
"4147","beverages, abbott, eas soy protein powder"
"4148","beverages, cytosport, muscle milk, ready-to-drink"
"4149","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
"4150","beverages, ocean spray, cran-energy, cranberry energy juice drink"
"4151","beverages, nestle, boost plus, nutritional drink, ready-to-drink"
"4152","beverages, slimfast, meal replacement,  high protein shake, ready-to-drink, 3-2-1 plan"
"4153","beverages, unilever, slimfast, meal replacement, regular, ready-to-drink,  3-2-1 plan"
"4154","beverages, unilever, slimfast shake mix, powder, 3-2-1 plan"
"4155","beverages, fuze, orange mango, fortified with vitamins a, c, e, b6"
"4156","alcoholic beverage, distilled, gin, 90 proof"
"4157","alcoholic beverage, distilled, rum, 80 proof"
"4158","alcoholic beverage, distilled, vodka, 80 proof"
"4159","alcoholic beverage, distilled, whiskey, 86 proof"
"4160","beverages, almond milk, chocolate, ready-to-drink"
"4161","beverages, unilever, slimfast shake mix, high protein, whey powder, 3-2-1 plan,"
"4162","beverages, acai berry drink, fortified"
"4163","alcoholic beverage, wine, dessert, sweet"
"4164","beverages, whey protein powder isolate"
"4165","beverages, kellogg's, special k protein shake"
"4166","beverages, energy drink with carbonated water and high fructose corn syrup"
"4167","beverages, energy drink, sugar free"
"4168","beverages, abbott, ensure, nutritional shake, ready-to-drink"
"4169","beverages, chocolate powder, no sugar added"
"4170","beverages, orange juice, light, no pulp"
"4171","beverages, the coca-cola company, hi-c flashin' fruit punch"
"4172","beverages, protein powder whey based"
"4173","beverages, protein powder soy based"
"4174","beverages, kellogg's special k20 protein powder"
"4175","beverages, zevia, cola"
"4176","beverages, zevia, cola, caffeine free"
"4177","beverages, gerolsteiner brunnen gmbh & co. kg,gerolsteiner naturally sparkling mineral water,"
"4178","beverages, icelandic, glacial natural spring water"
"4179","beverages, yellow green colored citrus soft drink with caffeine"
"4180","beverages, rich chocolate, powder"
"4181","beverages, gerolsteiner brunnen gmbh & co. kg (gerolsteiner), naturally sparkling, mineral bottled water"
"4182","beverages, chocolate malt, powder, prepared with fat free milk"
"4183","alcoholic beverage, wine, table, all"
"4184","beverages, v8 splash smoothies, peach mango"
"4185","beverages, v8 splash smoothies, strawberry banana"
"4186","beverages, v8 splash smoothies, tropical colada"
"4187","beverages, coconut water, ready-to-drink, unsweetened"
"4188","beverages, almond milk, unsweetened, shelf stable"
"4189","beverages, chocolate almond milk, unsweetened, shelf-stable, fortified with vitamin d2 and e"
"4190","beverages, the coca-cola company, glaceau vitamin water, revive fruit punch, fortified"
"4191","beverages, minute maid, lemonada, limeade"
"4192","alcoholic beverage, wine, table, red"
"4193","alcoholic beverage, wine, table, red, cabernet sauvignon"
"4194","alcoholic beverage, wine, table, red, cabernet franc"
"4195","alcoholic beverage, wine, table, red, pinot noir"
"4196","alcoholic beverage, wine, table, red, syrah"
"4197","alcoholic beverage, wine, table, red, barbera"
"4198","alcoholic beverage, wine, table, red, zinfandel"
"4199","alcoholic beverage, wine, table, red, petite sirah"
"4200","alcoholic beverage, wine, table, red, claret"
"4201","alcoholic beverage, wine, table, white"
"4202","alcoholic beverage, wine, table, red, lemberger"
"4203","alcoholic beverage, wine, table, red, sangiovese"
"4204","alcoholic beverage, wine, table, red, carignane"
"4205","alcoholic beverage, wine, table, white, pinot gris (grigio)"
"4206","alcoholic beverage, wine, table, white, chenin blanc"
"4207","alcoholic beverage, wine, table, white, fume blanc"
"4208","beverages, mixed vegetable and fruit juice drink, with added nutrients"
"4209","alcoholic beverage, wine, table, white, muller thurgau"
"4210","beverages, carbonated, club soda"
"4211","alcoholic beverage, wine, table, white, gewurztraminer"
"4212","alcoholic beverage, wine, table, white, late harvest, gewurztraminer"
"4213","alcoholic beverage, wine, table, white, semillon"
"4214","carbonated beverage, cream soda"
"4215","alcoholic beverage, wine, table, white, riesling"
"4216","alcoholic beverage, wine, table, white, sauvignon blanc"
"4217","alcoholic beverage, wine, table, white, late harvest"
"4218","beverages, carbonated, ginger ale"
"4219","beverages, nestea, tea, black, ready-to-drink, lemon"
"4220","alcoholic beverage, wine, table, white, pinot blanc"
"4221","alcoholic beverage, wine, table, white, muscat"
"4222","beverages, carbonated, grape soda"
"4223","beverages, carbonated, low calorie, other than cola or pepper,  without caffeine"
"4224","beverages, carbonated, lemon-lime soda, no caffeine"
"4225","beverages, carbonated, sprite, lemon-lime, without caffeine"
"4226","beverages, carbonated, low calorie, cola or pepper-type, with aspartame, without caffeine"
"4227","beverages, carbonated, cola, without caffeine"
"4228","beverages, carbonated, cola, regular"
"4229","beverages, carbonated, reduced sugar, cola, contains caffeine and sweeteners"
"4230","beverages, carbonated, orange"
"4231","beverages, carbonated, low calorie, other than cola or pepper, with aspartame, contains caffeine"
"4232","alcoholic beverage, wine, table, red, burgundy"
"4233","beverages, carbonated, pepper-type, contains caffeine"
"4234","beverages, energy drink, red bull"
"4235","beverages, carbonated, tonic water"
"4236","beverages, energy drink, red bull, sugar free, with added caffeine, niacin, pantothenic acid, vitamins b6 and b12"
"4237","beverages, carbonated, root beer"
"4238","alcoholic beverage, wine, table, red, gamay"
"4239","alcoholic beverage, wine, table, red, mouvedre"
"4240","alcoholic beverage, wine, table, white, chardonnay"
"4241","beverages, kiwi strawberry juice drink"
"4242","beverages, apple juice drink, light, fortified with vitamin c"
"4243","beverages, chocolate drink, milk and soy based, ready to drink, fortified"
"4244","beverages, chocolate malt powder, prepared with 1% milk, fortified"
"4245","beverages, carbonated, limeade, high caffeine"
"4246","beverages, carbonated, low calorie, cola or pepper-types, with sodium saccharin, contains caffeine"
"4247","beverages, powerade, zero, mixed berry"
"4248","beverages, carob-flavor beverage mix, powder"
"4249","beverages, carob-flavor beverage mix, powder, prepared with whole milk"
"4250","beverages, coconut milk, sweetened, fortified with calcium, vitamins a, b12, d2"
"4251","beverages, coffee, ready to drink, vanilla, light, milk based, sweetened"
"4252","beverages, lemonade fruit juice drink light, fortified with vitamin e and c"
"4253","beverages, chocolate-flavor beverage mix, powder, prepared with whole milk"
"4254","beverages, coffee, ready to drink, milk based, sweetened"
"4255","beverages, coffee, brewed, breakfast blend"
"4256","beverages, chocolate syrup"
"4257","beverages, chocolate syrup, prepared with whole milk"
"4258","beverages, coffee, ready to drink, iced, mocha, milk based"
"4259","beverages, tea, oolong, brewed"
"4260","beverages, clam and tomato juice, canned"
"4261","beverages, tea, green, ready to drink, ginseng and honey, sweetened"
"4262","beverages, the coca-cola company, minute maid, lemonade"
"4263","beverages, tea, green, ready-to-drink, diet"
"4264","beverages, tea, green, ready-to-drink, citrus, diet, fortified with vitamin c"
"4265","beverages, cocoa mix, powder"
"4266","beverages, cocoa mix, powder, prepared with water"
"4267","beverages, cocoa mix, nestle, hot cocoa mix rich chocolate with marshmallows"
"4268","beverages, cocoa mix, no sugar added, powder"
"4269","cocoa mix, nestle, rich chocolate hot cocoa mix"
"4270","beverages, tea, black, ready-to-drink, lemon, sweetened"
"4271","beverages, coffee, brewed, prepared with tap water, decaffeinated"
"4272","beverages, coffee, brewed, espresso, restaurant-prepared, decaffeinated"
"4273","beverages, coffee, instant, regular, half the caffeine"
"4274","beverages, coffee and cocoa, instant, decaffeinated, with whitener and low calorie sweetener"
"4275","beverages, tea, green, ready-to-drink, sweetened"
"4276","beverages, tea, ready-to-drink, lemon, diet"
"4277","beverages, coffee, brewed, prepared with tap water"
"4278","beverages, coffee, brewed, espresso, restaurant-prepared"
"4279","beverages, tea, black, ready-to-drink, lemon, diet"
"4280","beverages, coffee, instant, regular, powder"
"4281","beverages, coffee, instant, regular, prepared with water"
"4282","beverages, aloe vera juice drink, fortified with vitamin c"
"4283","beverages, ocean spray, cran grape"
"4284","beverages, coffee, instant, decaffeinated, powder"
"4285","beverages, coffee, instant, decaffeinated, prepared with water"
"4286","beverages, ocean spray, cranberry-apple juice drink, bottled"
"4287","beverages, ocean spray, diet cranberry juice"
"4288","beverages, coffee, instant, with chicory"
"4289","beverages, coffee, instant, chicory"
"4290","beverages, coffee, instant, mocha, sweetened"
"4291","beverages, ocean spray, light cranberry and raspberry flavored juice"
"4292","beverages, ocean spray, white cranberry strawberry flavored juice drink"
"4293","beverages, kraft, coffee, instant, french vanilla cafe"
"4294","beverages, ocean spray, cran raspberry juice drink"
"4295","beverages, ocean spray, cran lemonade"
"4296","beverages, ocean spray, diet cran cherry"
"4297","beverages, coffee substitute, cereal grain beverage, powder"
"4298","beverages, coffee substitute, cereal grain beverage, prepared with water"
"4299","beverages, cranberry-apple juice drink, bottled"
"4300","alcoholic beverage, malt beer, hard lemonade"
"4301","beverages, cranberry-apricot juice drink, bottled"
"4302","beverages, cranberry-grape juice drink, bottled"
"4303","cranberry juice cocktail, bottled"
"4304","cranberry juice cocktail, bottled, low calorie, with calcium, saccharin and corn sweetener"
"4305","beverages, eggnog-flavor mix, powder, prepared with whole milk"
"4306","beverages, tea, green, instant, decaffeinated, lemon, unsweetened, fortified with vitamin c"
"4307","beverages, tea, black, ready to drink"
"4308","alcoholic beverage, beer, light, higher alcohol"
"4309","beverages, amber, hard cider"
"4310","alcoholic beverages, beer, higher alcohol"
"4311","beverages, malt liquor beverage"
"4312","alcoholic beverages, wine, rose"
"4313","beverages, ocean spray, cran pomegranate"
"4314","beverages, ocean spray, cran cherry"
"4315","beverages, ocean spray, light cranberry"
"4316","beverages, ocean spray, white cranberry peach"
"4317","beverages, ocean spray, light cranberry, concord grape"
"4318","beverages, tea, green, brewed, decaffeinated"
"4319","beverages, tea, green, ready to drink, unsweetened"
"4320","beverages, citrus fruit juice drink, frozen concentrate"
"4321","beverages, citrus fruit juice drink, frozen concentrate, prepared with water"
"4322","beverages, fruit punch drink, without added nutrients, canned"
"4323","beverages, fruit punch drink, with added nutrients, canned"
"4324","beverages, fruit punch drink, frozen concentrate"
"4325","beverages, fruit punch drink, frozen concentrate, prepared with water"
"4326","beverages, coffee, instant, vanilla, sweetened, decaffeinated, with non dairy creamer"
"4327","beverages, tropical punch, ready-to-drink"
"4328","beverages, grape drink, canned"
"4329","beverages, tea, green, brewed, regular"
"4330","beverages, tea, black, ready-to-drink, peach, diet"
"4331","beverages, tea, black, ready to drink, decaffeinated, diet"
"4332","beverages, tea, black, ready to drink, decaffeinated"
"4333","beverages, grape juice drink, canned"
"4334","beverages, cranberry juice cocktail"
"4335","beverages, ocean spray, ruby red cranberry"
"4336","beverages, motts, apple juice light, fortified with vitamin c"
"4337","beverages, lemonade, powder"
"4338","lemonade, powder, prepared with water"
"4339","beverages, snapple, tea, black and green, ready to drink, peach, diet"
"4340","lemonade, frozen concentrate, white"
"4341","lemonade, frozen concentrate, white, prepared with water"
"4342","beverages, snapple, tea, black and green, ready to drink, lemon, diet"
"4343","beverages, lemonade-flavor drink, powder"
"4344","beverages, lemonade-flavor drink, powder, prepared with water"
"4345","limeade, frozen concentrate, prepared with water"
"4346","malt beverage, includes non-alcoholic beer"
"4347","beverages, ovaltine, classic malt powder"
"4348","beverages, malted drink mix, natural, with added nutrients, powder, prepared with whole milk"
"4349","beverages, malted drink mix, natural, powder, dairy based."
"4350","beverages, malted drink mix, natural, powder, prepared with whole milk"
"4351","beverages, ovaltine, chocolate malt powder"
"4352","beverages, malted drink mix, chocolate, with added nutrients, powder, prepared with whole milk"
"4353","beverages, malted drink mix, chocolate, powder"
"4354","beverages, malted drink mix, chocolate, powder, prepared with whole milk"
"4355","beverages, orange drink, canned, with added vitamin c"
"4356","beverages, orange and apricot juice drink, canned"
"4357","beverages, pineapple and grapefruit juice drink, canned"
"4358","beverages, pineapple and orange juice drink, canned"
"4359","shake, fast food, vanilla"
"4360","strawberry-flavor beverage mix, powder"
"4361","beverages, strawberry-flavor beverage mix, powder, prepared with whole milk"
"4362","beverages, tea, black, brewed, prepared with tap water, decaffeinated"
"4363","beverages, tea, instant, decaffeinated, unsweetened"
"4364","beverages, tea, black, brewed, prepared with tap water"
"4365","beverages, tea, instant, decaffeinated, lemon, diet"
"4366","beverages, tea, instant, decaffeinated, lemon, sweetened"
"4367","beverages, tea, instant, unsweetened, powder"
"4368","beverages, tea, instant, unsweetened, prepared with water"
"4369","beverages, tea, instant, lemon, unsweetened"
"4370","beverages, tea, instant, lemon, sweetened, powder"
"4371","beverages, tea, instant, lemon, sweetened, prepared with water"
"4372","beverages, tea, instant, sweetened with sodium saccharin, lemon-flavored, powder"
"4373","beverages, tea, instant, lemon, diet"
"4374","beverages, tea, herb, other than chamomile, brewed"
"4375","beverages, water, bottled, perrier"
"4376","beverages, water, bottled, poland spring"
"4377","beverages, cocoa mix, with aspartame, powder, prepared with water"
"4378","beverages, carbonated, cola, fast-food cola"
"4379","beverages, fruit punch juice drink, frozen concentrate"
"4380","beverages, fruit punch juice drink, frozen concentrate, prepared with water"
"4381","beverages, orange-flavor drink, breakfast type, powder"
"4382","beverages, orange-flavor drink, breakfast type, powder, prepared with water"
"4383","beverages, orange-flavor drink, breakfast type, low calorie, powder"
"4384","beverages, water, tap, drinking"
"4385","beverages, water, tap, well"
"4386","alcoholic beverage, liqueur, coffee, 53 proof"
"4387","alcoholic beverage, liqueur, coffee with cream, 34 proof"
"4388","beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine"
"4389","beverages, coffee substitute, cereal grain beverage, powder, prepared with whole milk"
"4390","beverages, dairy drink mix, chocolate, reduced calorie, with low-calorie sweeteners, powder"
"4391","beverages, dairy drink mix, chocolate, reduced calorie, with aspartame, powder, prepared with water and ice"
"4392","beverages, orange-flavor drink, breakfast type, with pulp, frozen concentrate. not manufactured anymore."
"4393","beverages, orange-flavor drink, breakfast type, with pulp, frozen concentrate, prepared with water"
"4394","beverages, orange drink, breakfast type, with juice and pulp, frozen concentrate"
"4395","beverages, orange drink, breakfast type, with juice and pulp, frozen concentrate, prepared with water"
"4396","beverages, shake, fast food, strawberry"
"4397","beverages, water, tap, municipal"
"4398","cranberry juice cocktail, frozen concentrate"
"4399","cranberry juice cocktail, frozen concentrate, prepared with water"
"4400","beverages, water, bottled, non-carbonated, dannon"
"4401","beverages, water, bottled, non-carbonated, pepsi, aquafina"
"4402","beverages, the coca-cola company, dasani, water, bottled, non-carbonated"
"4403","beverages, orange breakfast drink, ready-to-drink, with added nutrients"
"4404","beverages, water, bottled, non-carbonated, calistoga"
"4405","beverages, water, bottled, non-carbonated, crystal geyser"
"4406","water, bottled, non-carbonated, naya"
"4407","beverages, water, bottled, non-carbonated, dannon fluoride to go"
"4408","beverages, drink mix, quaker oats, gatorade, orange flavor, powder"
"4409","beverages, pepsico quaker, gatorade, g performance o 2, ready-to-drink."
"4410","beverages, coca-cola, powerade, lemon-lime flavored, ready-to-drink"
"4411","beverages, propel zero, fruit-flavored, non-carbonated"
"4412","beverages, arizona, tea, ready-to-drink, lemon"
"4413","beverages, lipton brisk, tea, black, ready-to-drink, lemon"
"4414","whiskey sour mix, bottled, with added potassium and sodium"
"4415","alcoholic beverage, whiskey sour"
"4416","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof"
"4417","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof"
"4418","alcoholic beverage, liqueur, coffee, 63 proof"
"4419","alcoholic beverage, wine, dessert, dry"
"4420","carbonated beverage, low calorie, other than cola or pepper, with sodium saccharin, without caffeine"
"4421","beverages, cocoa mix, low calorie, powder, with added calcium, phosphorus, aspartame, without added sodium or vitamin a"
"4422","beverages, fruit punch-flavor drink, powder, without added sodium, prepared with water"
"4423","lemonade, frozen concentrate, pink"
"4424","beverages, lemonade, frozen concentrate, pink, prepared with water"
"4425","beverages, tea, black, brewed, prepared with distilled water"
"4426","beverages, tea, herb, brewed, chamomile"
"4427","beverages, tea, instant, lemon, with added ascorbic acid"
"4428","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof"
"4429","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof"
"4430","carbonated beverage, chocolate-flavored soda"
"4431","beverages, wine, non-alcoholic"
"4432","water, bottled, generic"
"4433","beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients"
"4434","beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients, prepared with whole milk"
"4435","beverages, water, bottled, non-carbonated, evian"
